id,sent0,label
1354, 6.1k mamunni fans ithe kandu ennu aa dislike button kandapol manasilayi,2
1355, I'm from Tamilnadu...i like mamooty sir.. trailer,0
1356, dayav cheyth pretham 3 irakkaruth plzzz athrank unda padamaayirnn pretham 2,2
1357, Su sugunan su gu sugu su gu suu bug una,3
1358, Avasanam sathya moorthy ips avathorunna mati🤣🤣,3
1359, Very good movie-making skills in your language.. keep up the good work,0
1360, Villain Tovino & vivek oberoi ...( just a guess ),3
1361, Ikka fan aaya Nikku nalla urappundu,1
1362, Ikka powlichu onnum parayanilla trailer ethanel padam enthakum,1
1363, To be very frank,2
1364, Tovino look. & BGM vere level,1
1365, bgm korachoode nannaakkayirunnu..fan made bgm poley.....,4
1366, Pinneum pinneum ithu kaanuna ethra peer und,3
1367, Laletttaaan fans adichu potikda like button,3
1368, Mass mass pakka masss,1
1369, Njaan aadym vichaariche punyalan 3 aanenaa,3
1370, Mamangam...nte ammooo marana massss...trailer....   verum item allaaa.... ith oru onnonnara item anuu....ikkaaaaaaa,1
1371, 16k views.. But 56k like.... എപ്പിടി 🤔,3
1372, Ikka bakthanmaar like adi   Ikka istham,3
1373, Teaser ille kittiya mass triller ille kittilla,4
1374, Madhurarajaykku LUCIFER inte half like polum kittillannu urappullavarkku like adikkan after # madhuraraja trailer,3
1375, Happy birthday mammookkaaaaaaaaa Ilove you   Ganagandharvan waiting,0
1376, Dislike adikan mtram Kure per nokiyiriunna polund,2
1377, 1 1/2kaalan police randu kaalukalumayyi veedum,3
1378, Oru pandi padathinte trailer innu irangiyitundu...kandavar onnu parayane..avide ellaam thribilaa🤣🤣🤣,2
1379, Njan oru ikka fan alla paksha as a malayali i am katta weiting for raja 2,1
1380, Dislike adichavar ettavum valiya oolakal...... bldy idiots...,2
1381, Karayippikuvo muthe... Happy bday ikka.... Waitg,1
1382, Eth vetavalliyanmara dislike adiche..,2
1383, Evan evan lam #maduraya sontham kondaduvathunu vevastha ilama pochuda...,0
1384, superb trailer  dileepettan & sidhique ikka best of luck,0
1385, Kanunnathinu munpe dislukke like adichaa ellaa malavangalkkum ente naduviral namaskaram,2
1386, Ithu enthanu kilichundan mambazhamb 2 parto..hihi comedy padamanennu thonunnu,2
1387, Ravile eneet trailer kanan vannavar ndo....,3
1388, Lalletan fansinte ella supportum und ikka.....  Ethu porikum.... Oru samsayavum venda...,1
1389, ith oru oola padam aayirikum enn manass parayunu,2
1390, Kalkikku malayalathinte dhathuputhran alluarjun fansite vijayaashamsakal,3
1391, Ravanan aya avane nerkuner illaathakkan oru maha avatharam thanne vendi varum....poli,1
1392, Fans kaar.... Pls padathinu hype koottaruthu... Ithu oru sadharana cinema yanu... Dayavu cheythu nashippikkaruthu....,3
1393, Trailer kidu aie annulavarkke Likam (onnu likada),3
1394, If you are bad im your dad,0
1395, Happy birthday Ikka love u  Pratheeshkal athiru kadanu Ganagandarvan keralakara keezhadakum,1
1396, Oru pooram Trilar Vijariichu Vannappooo oRu Mass Trilar aayiii thoonniyavarr Like Aahdii.....,1
1397, maarana mass  Raja is back,0
1398, Big waiting for Mamangam,0
1399, Trailer kollarkium nu oru pratheeksha ondarinnu...pakshe ithu athukkum mele,1
1400, Prithviraj Undennu Arinju Trailer Kandavar Like Adiku  1:01 Zayed Masood,3
1401, Eathu nayinte makkal avao dislike adiche,2
1402, Polichu ikka suppar u r great,1
1403, Ith ini indian cinema yude mamangam,1
1404, Madhura Raajaye pottikkum ennavar like adi,3
1405, Dislike um kurayunnu..23k ninnu 13k aayi...appo ee chettatharam kanichathu aaru ennu parayendelloo,2
1406, Mammookka  unni mukundan  achuthan,3
1407, Ipo tanne 5 vattam kandu vallatoru trailer,1
1408, Super  bb.  Lalettaaaa,1
1409, Lucifer lucifer lucifer a10 a10 a10,3
1410, First l00crore Malayalam film pulimurrukan First 200crore odiyan is loading,0
1411, Padam kandu.. ennittum veendum tralier kaanan thonunnu.....,3
1412, @ 1:03,0
1413, Njanetha parayendath......... Onnum parayaanilaaaaaaa..... Laaaaalettttttttttaaaaaaaaaa.......ummmmmm aaaaaa,1
1414, Pworich kurach kalangalaayi ijjathi padem Tamil mathram aannu kandirunnath .eni malayalathilum kannaan ulla bhagyem Ind .Poli Poli poli,1
1415, Next pullikaran stara or uncle loading 🤭,4
1416, Trailer  kalaki Pwolichu  madhura raja cenimakku vendi katta waiting,1
1417, Super trailer cinema kandale  bakkie parayan kaziykka llu,1
1418, 100 k avunnath mumbe kandavar like,3
1419, Ithu pole bgm ulla mass trailer ithu vare iragiyittila .,1
1420, Music chila sthalangalil alambayi ....dialogue perfection kittunnilla,2
1421, Ekka @ Madhura Raja,3
1422, Dislike full odiyan kanji fans,2
1423, Odiyante sheenam njnga lalettante piller ee luciferil ang theerkum....,1
1424, Class trailer,2
1425, Lalettan illatha eanth sinima le makkale kodk like,1
1426, Rajuvetta ningal maranmass love you oru great success avate....,1
1427, Lucifer movie kanditt  ethil comment edaan vannavar like adi.....  Mass lucifer lalettan mass,1
1428, Kidukkachi  laletta ningal mass alla kolamassanu,1
1429, Age  68    mammmukka da,3
1430, Kaaneda പിള്ളേരെ..  100K Views & 34K Likes in 5 Minutes  60K likes in 15 Minutes,3
1431, Soubin achanod vazhakakakunu...achanu sahayathinu robotine soubin set akunu...robotinte koode jeevikuna achan parishkari akunu...achanum makanum onnikunu...subham,3
1432, Ethu puthu charitharam.,1
1433, Onnu vegam dec 14 ayya mathiyayirinnu,1
1434, Kidukachi trailer... Bgm oru rekshayum ella.....,1
1435, Sathyam paranjaal trailer kandit vella majjeyonnullalla,1
1436, nee okke ara trousar itt ajandhayil aadhipapam kanumbo njn vitta scean aa idh...yeah mammukaah,3
1437, Hacking likes um Views um koottan nokiyitt moonjipoya mammootti fans evdede.. Oru Maryadhayoke Vendedey,2
1438, Ithu Kolakolli item Lalettan fans kathirunna padam Ith thakarkkum Lalettan fansnu aakosham mmakk pwopichadkkam,1
1439, Ithu Vera levelakum urappa..... Ela ikka fansinum all best....,1
1440, Ufffffff ichayaaa pwolich ur die hard fan 4 ever,1
1441, Adipoly🤩🤩lalettan fan thanne aaganamennilla sharaashari oru cinema premi aayaaal mathi ith kandit romaanjification undaagan🤩🤩🤩🤩🤩kidue !!!,1
1442, Nalla padam ayirikatte odian pole akathirunnaal madi all the best,1
1443, Kalam ethra poyallum charithra purushanmare prathinithikarikkan angh kazhiyunnundallo mammooka,1
1444, Fans show unndavummo?,3
1445, Laalinu pakaram vere oru nadan akamayirunnu lal ithepole orupadu   cheyithittundu,2
1446, Oooohhhh oru rakshayum illaaaa... Pwolii poppwoliiii  Ingalaan thaaram,1
1447, Kilichundan maambazhathile slang . Oru matullalaa,4
1448, Ende ponno 68 vayasaya oraluda body thanneyano ith.... 🤩.. NAMICHU PONNIKKAAAA,1
1449, Immanuvel pokan pokunna item kikidu hbd mammokka,1
1450, Katta Dileep Ettan Fans um Ee Movie vijayikyum ennu ullavar Adi like,3
1451, Nanayitunduuu...... trailer kurachu koodi nanakam ayirunu,1
1452, padam 2 thavana already kandavar aarelum undoo,3
1453, Helen enna perinte vethyastatha kond vannavarundo????,3
1454, Surajettante voice oru podik koodi aged avannu,2
1455, Rashtriyam,2
1456, Ividippo Malayalikal kuravanallo  #Lalettan #Prithviraj #Lucifer,3
1457, 120k lyk pakshe 22k views ullu Ntho saangethika thakarar und🤔,3
1458, 3:15 am ksa time nu kanunnund bro,3
1459, Minimum 3 Thavana kanathathayi arum kanilla....,1
1460, Come on india lets make it 8 million....,0
1461, Idh 2 million cross aghanam enn agrahikunnavar adi like,3
1462, Mass nnu paranjaa ikkayaanu.. MASTER of MASSES.. Adaar trailer.. Mammookkaaa,1
1463, chankurappulla ikka fans vaa 21 nu charithram kurikkum,3
1464, njn kandathl Etavum mikacha trailer yennu thanne prym #ikka <3 .. #Ennum ikka,1
1465, Kanji fans dis like adichu thakarkkunnudu,2
1466, Ethile fight scene kaanaan akrahikkunnavar like,3
1467, Hpy bdya ma lovely ikka,1
1468, Ikka fans kuthhy marinjalum luciferinete oru recordum thakarkilla,4
1469, Nte ponnikkaaa inghal enthinilla porappadilaaa nte ammooo poli,1
1470, All the best ikka- By a die hard ettan fan,0
1471, padam kanditt ivida vannavar aarokke ??,3
1472, Ente ammo kidilam trailer  L___ && MR,1
1473, Katta waiting....  maranamass  trailer......,1
1474, VOICE MODULATION. THE BEST IN THE WORLD,0
1475, All the best for movie mamankam...katta lalettan fan...,1
1476, 1:45 enta ponooo ..ota peru Mammootty...,1
1477, Ejjath oru rakshayum llaaaa katta waiting,1
1478, Ennik mathram aano 200 cr clubil ee movie keerum enn thoniyath ?,3
1479, kanjikoduthu avasanam.. kill that bastard..our lady superstar,3
1480, vyshak sir trailer search cheythitt kittunilla innala kittiyirinu,3
1481, Ith verum mass alla marana mass,1
1482, Lucciferine pizhutheriyan  ravananaaya aa avatharam varunnu,3
1483, Ente mone al powli ikka ishtam,1
1484, Appol  lalettante padathinte Record ellam  thakarthu  eriyan pokunnu alle ayikotte malayala  Cinema uratte,1
1485, Rajuettan and ikka fans  like adi,3
1486, watch all #mohanlal #mammooka fans 🤜🤛,0
1487, Trailer kandathode padathinu oru theerumaanayi chali padam,2
1488, tamil-telungu-malayalam orrumichu  release  cheydhal  valiya orru  sambvam aggum,1
1489, Ente ponnnnoooooo.... Vere level,1
1490, Njan laalettan fana pakshe i love this movie,1
1491, Pls support me pls       My channel subscribe pls Pls,0
1492, Tovino machane fight scene poratto... eniyum valaraan undu,2
1493, Oru prethikshayillarnu madhuraja but parayathirikan vayya visuals vere lvl,1
1494, Trailerin otta kurappama ullu njankluda ikkayuda face kandela,4
1495, Varunnathu manthriyo bhadano alla rajavanu rajavu,3
1496, Chechiuede mukham kandu like  cheythavar aroke ikka,1
1497, Powli trailer  Ikka oru rakshayum illa kidu,1
1498, I'm didn't blink even for 1sec...,0
1499, Jo jeetha wohi sikhandar oke pole undu,4
1500, Kidilan trailer .. ikka ushaarrr  ithu super hit aakumennu urappichavar ivide chumma likeetu pokko..,1
1501, Katta waiting for mahuraja entry Like adikku makkalaee,3
1502, Lalettan Masss Lalettan ki jaiii,1
1503, YouTube nde kaat poyirikkugayaan.. 1 manikkoor aayi ithuvare YouTube nde hang maariyittilla..🤣🤣,3
1504, Lucifer ini kandam vayi odedi varum,2
1505, laletta polliku full support annu,1
1506, Mohanlal stunning look with kgf bgm,0
1507, Ella Lalettan chunkum oru like adikoo ivide.....pinne ee chanelum onnu subscribe cheyoo,3
1508, .35 oru pulimurukan touch vannu .enthayaalum sambavam kidkeetund,1
1509, Mamooka we love u so much..,1
1510, E jathi trailer pahaya nee sulaimanalla hanumana... hanuman,3
1511, 1.30 manoj K jayan  Mammookka walk,0
1512, Karalil thakil adichu,3
1513, NEEGA VAA THALAIVARE  #MEGASTAR,0
1514, Kalki super hit akum enn Bonny parayan paranju,1
1515, She look like my angel.. ചിന്നൂട്ടി..,3
1516, Happy birthday to you mammookka,0
1517, 4m views + 300k likes + #1 trending - Lallettan,0
1518, Last sukumaran chettante photo kandavarkk like adikkanulla sthalam,3
1519, Oru kgf trailer polee.. Lalettan pakkaa massss,1
1520, Romanjification....!!!! Lalettan Masssssssss...!!!! Manju chechi Vere Level !!!,1
1521, 4.6 M views on 23.03.2019 ::2.07AM,0
1522, 0:27 trailer ലെ mass dialog,1
1523, Ithoru malayala cinema k oru vazhithirivu aakatte fanisam marannu support cheyyu,1
1524, Ufffff.  Pwoli lalattaa... Katta waiting,1
1525, Enne pole 50praavisham kandavurundagill adi like,3
1526, Tripple strong nnn paranjapam daridryam akumn vjarich....idh takarthuto....waiting...ee prayatilum thalarata aavesham....ingal vallatoru manusyan thanne,1
1527, Prithviraj undennu aringuu trailer kanan vannavar atraper,3
1528, Mohan laal ke saamne to to dusre sab actors fail ho gaye yaar...kyaa acting ki he yaar..nice movie,0
1529, polimass item.. heavy mass... Lalettan,1
1530, Nte ponno oru rakshayum illatta makinggg......polichu....MAMMOOKKAA,1
1531, Nammude prithvi amgane veruthe onnum direct cheyillalloo... Lalettante kure nallukalyi irangunnathil aattavum nalla movie....,1
1532, Raju eattanu nthu Patti... Baki ellavrum ndalo. Ennit egneya rajade story avuva,3
1533, Im from us army i like mammukka action,0
1534, Prithviraj aanu new character ennu arinjathinu shesham trailer kaanaan vannavar undo? Enkkil like here,3
1535, Thalli thalli kure ayallo oru padamenkilum vijayippichu kanikku kidannu thalli marikkathe,2
1536, ethra thavana kandaalum veeryam koodunna kolakolli item,1
1537, Any way  kidu sanam...      Waiting randamuzham,1
1538, Lal atten fans from tamil nadu,0
1539, Face of indian cinima kolamass kolakolli waiting november 21 mamangam day,1
1540, Dileepettan muthanu ningal lalettan fansanenkil nallathu paranjo kazhapamilla athinu dileepettan undakandataaa,2
1541, Pwolichu    ...  lalettaaa,1
1542, Teaser kand thalliparanjavarkku  Trailer oru marupadiyanu including me,1
1543, Varan irikkunnath mass padam matram alla  Comedy entertainer kudiya,1
1544, E sooraj comedy anel padam odum .. serious carecter anel. Padam poliyum,4
1545, endh kashtaman idh trailer alla teaser ann,3
1546, Kidilam padam...direction ennoke paranja ithaanu mone,1
1547, sunny akante song ennu Youtubeil varunno annu rajaku alukerunathu nikum,3
1548, Raja Annum Ennum Raja Thanne,1
1549, Vere level  Ikka  uff,1
1550, verey level maranamaass neeralikk polumilla 1 m views,1
1551, Enta jayetta ithu minnichekkane kazhinjya varshathe nammada pala planum polinjyu ithu athupole avaruthu.' avulla',1
1552, Trailer idunnathin munb thanne dislike adicha mahaan maark ente oru naduviral namaskaaram,2
1553, Super acter nammude lalettan Super hero nammude lalettan,1
1554, Eattante pscho Fan ....  Loooov u  soooo much....... Laletttaaaaa,1
1555, Paranjere malayalathil oru stunt master vannitundenn,3
1556, 30 pravashyathin melil kanda alkar ivide like,3
1557, Kochin haneefka valsalyam cinema eduthad pole onnil odukkanan prithvirajinte erpadengil Aradagar panhikkidum.,3
1558, Ee role mammookkak aahnnu cherunathu anu arinja...lalettan fans right now kurupottikal....🤣🤣🤣🤣,2
1559, Hmm ..trailer kandappo  oru kaaryam theerumaanamaayi,3
1560, Dis like adichavar aaro avar... onnum parayunnilla,4
1561, King is always King... Mamooka.. Legend,0
1562, Ente ponne oru rekshem illa  kidukkachiiiiiiiiii...  Lalettan Hvy....,1
1563, Sidhik sir. Great performance. Kalakki.,4
1564, mammookka oru rakshayum Illa kiddu,1
1565, Waste trailer,2
1566, Lucifer fdfs pokunnu lalettante White n white lookil,1
1567, മധുരരാജാ ടീസർ : 3hours/27minutes=111k view lucifer:28minutes=152k view,3
1568, Singam model oru kidilan action movie aakatte.....,1
1569, in english we call sugar daddy,0
1570, Chila bhagagal pulimurugan le pole thonniii......ikkayude ee movie yum successful aakatte ennu aashamsikkunnuuu.....,4
1571, Ithrayum nal nammal avarude Padam kandu inni avar nammu Padam kanatte #mammucka lovers,3
1572, Pazzhassirajaye  kadathi vettum e maamangam.,4
1573, flop kaluda rajakumaran ee padam hit agum pisharadikku,4
1574, Tamil film Pizza de oru style,1
1575, Cheriya pulli alla avan.. Padicha kallan aa.. Ufff A10..,3
1576, Trailer atra pora . Movie nannayirikumenu pratheekshikunu,4
1577, Fairman oorma vannath enikk matramano,3
1578, Pinnem Pinnem Kanuvaaa   Thalaivaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1
1579, kandittum kandittum mathi aakunnilla,1
1580, dislike adikkunna ella myrenmaarrum poyi oomb,2
1581, 172 k views youtube adichu poyo ??,3
1582, Also hats off Depak Dev bgm,0
1583, Today is my birthday.. Enik oru 10 like tharavo..,3
1584, Pwoli pwoli ee prayathilum enta amoooikkaaaa,1
1585, ennalum ente mammookkaaaa.. ningayokke enna poliyaan.....ningaleyallathe mattareyum ividonnum sangalppikkan polum pattilla..,1
1586, Malayala cinemayude khathi kadalinumappuram ethicha punyam ..megastar mammookka,1
1587, Trailer kanan thudangumbol 25k like,1
1588, Prithviraj as zayeed masood... Ith pwolikkum,1
1589, Tovino yude vaayil entha puka aduppano,3
1590, Kore naalk shesham ikkante padam kananam enn thonnath ee trailer kandapola...ith polikum...,1
1591, Morning eneechepol thanne veendum kandavar arund7.22,1
1592, Chunk alla chunk edippaaanu laalleettaaan,1
1593, Trailer Adipoli .. Ore oru mistake..!! Ethilum kudithal SUBSCRIBERS ulla Chennel il Release cheyyanamayirunnu,3
1594, 0:54,3
1595, super lalettan...all d best ..fan from Karnataka,0
1596, Ethe enthu vaa dae ethe? athinu kai addikaan kore fans oolagalum.,2
1597, Thandhayilaathavarum palathandhaku piranavanmaarum aayaa lalettan fanss fislike adikaann kore preyaasapedunundd 🤭🤭abarariyunilaa malayala cinemayude shaapam aann lalettan fans en,2
1598, 4k dislike.... ! Waiting 4 kunjali...,0
1599, Ithu verum oru samble vedikkettu.iniyaanu podipaaranapooram.appo churikki paranjaal vishu RAAJAyum RAAJAyude pillerum angukondupokum alla KONDUPOYI,1
1600, Trailer 15am pravashyam repeat adich kandita njn eii cmt box il vabnath Ikka pwolichuuu,1
1601, Trailer okke kollam. But last ezhuthi kanucha goodwill entertainment aanu prblm,4
1602, AAA maha avathaaram piravi yedukkan poagunnu   Ini  uyertheyunelppinte.   dhinangalanu,1
1603, 1st,3
1604, Watch #OreVidhi malayalam shortfilm,3
1605, 5 millionilekk kuthikkunna makankam trailerinu ellavidha bhavukangalum nerunnu,1
1606, Mamooka Polichu  Oru Rakshyumilla Mass,1
1607, Pwoli padam Vijay Sreenivasin vijayashamsagal nerunnu,1
1608, Eniyoru veeragaadha rechikendiyirikunnu ethinu pakrem vekan kazhiyumo mattonninu nadakan ullathu charithram nadakkendathum charitham snehikunavarku aathambimanem,3
1609, Any Kerala vijay fans like hite,0
1610, Innu thanne ithu etramathe vattama e trailer repeat adichu kanunnennu eniku thanne ariyilla...kidiloskki,1
1611, Is the real king  malayalam industry,0
1612, 152k veiws 107k likes in 38 minutes. This is,0
1613, Babynet  oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like,3
1614, Ningale katatthi vettan ningal matrame ollu laletta,1
1615, Kattttta waiting adikkkkkam macha Oru like,1
1616, Veruthe oru like enikkum thanne    Hbd ikka,3
1617, Que pedo,0
1618, Oru divasasam oru 10 pravashyamenkilum kanum,1
1619, Inn Lucifer inte 27th poster kand nere ingott trailer kaaanan vannu 1:34🤗🤗🤗,1
1620, Oh my god ! What a trailer ..,0
1621, Ooh my god it's  amazingggg,0
1622, Tamilnadu Mammootty fans Inga like podunga,0
1623, Ettan fansinte vaka irikatte oru kuthirapavan ikka muthanu,1
1624, Oru ghum illaa,2
1625, കൊല കൊല്ലി Item....Laletta.. Big salute to Raju ettan.. Lucifer,1
1626, ഫാൻസെല്ലാം കയറി വാാ.... abhrahaminte    Status video.....ellavarum kayari kaanu subscribe cheyyu like adikku,3
1627, Ithil Rajuettane kandavar ethra perund??? Aaa mwothaline athra pettennu kaanan pattilla. Athinu chorayil alinja sneham venam. Enje pwoale. R Eattan da <3,3
1628, Views & likes yetra aayenn nokkan kerunnavar undo ?,3
1629, Laluni fanskar thudangi dislike adikkan avarkku ente vaka,2
1630, Level item.. Padavum ithupole aya mathiyaynu,1
1631, Applause from an ettan fan... Mammukka katta swag,1
1632, Enta ikka polichu   Kidu item  Ethu polikkum,1
1633, Ore oru rajavu lalettan  🥰 10 million views aakum,1
1634, Nalle Bengali sidill ninee valichaa tiranuluu ninda Japan 🤣,3
1635, Ithanu.. Makkale nammal kanan aagrahicha ettan,1
1636, 3. 5 k dislike nalla kuru pottal anallo chorichil maraan wyt cheyee december 14 vere ellavarudeyum chorichill maati theraaam,2
1637, Kidukki.. MAMMOOKKA... KATTA WAITING... VYSHAKH SIR... HAT'S OFF U,1
1638, Superb trailer sir. Love from karnataka,0
1639, Ithipol matte sambavam kazinja shesham dileeep nu police,3
1640, Trailer 5 il kooduthal kandavar like,3
1641, Ithil love reaction button indaarrnneeel njekkittt pottikkaaarrnnn,1
1642, Uva uva andaedi trailer...will strile 100cr,0
1643, Ikka varilla enn orthath njn mathramo..?,3
1644, Inganethe massinde koode aa mukhavum kanichal kidukkum,1
1645, Trailer muzhumikum munbu comment vaayikkan oodi vannatha.. ente ponnoo....lalettan rajuvettan istham..,1
1646, Manju varrier mathrame ulluvo actresss ayi kollilla,2
1647, Trailer 1:45  Ikkayude aa run  Saamoothirikk nere aanu,3
1648, Enthuaadeee uploaded cheyunnathinu mump 6k dislike 🤦🤦🤦🤦🤦 ivanmarkku okke entha presnam,2
1649, Odiyan kand ishtappettit trailer nokkan vanna aarenghilum ivade inda ?,3
1650, Heavy items loading . Ufff Mamookkaaasss,0
1651, 17k dislikes.. seems like some people wanna degrade this movie,0
1652, Trending #1 karriku.. Any karrike fans,0
1653, Mammunniyude unda pottum ennulavar like adi🤣,2
1654, Puli oda aatam arambam....  Mohan lal Mind blowing fans from Tamilnadu,0
1655, I love lalettan I miss you,0
1656, Toveee...... ichayo... trailer kandu aaake excitement adichu irikkuva...film ethrayum vegham theater lu ethiyengil,1
1657, kaanunnathinte oppam comment vaayikkan Vanna njaaan,3
1658, Ufff.. Ejjathi item mone   Vakkukal varunila ..etta.,1
1659, Video kandutheran samayam aayilla athinu munne malaranmar dislike adikan thudangi,2
1660, Mammukayude 150 kodi padem aayi maratte madura raja,1
1661, Kattaa waiting Suraj ettan  Soubikkaa  Robot ettan Japan chechi,1
1662, LALLETAN FANS LIKE BUTTON ADICHU POTIKKE,3
1663, Ejjathi MASS  Romanjam  mammookka,1
1664, Pazhaya lalettan + pazhaya rajuettan + pazhaya achaayan nivin angane aaage motham 3.....ethin pogum ennulla  confusion aaanallo,3
1665, Padam iragan eni thivasagal mathram katta waiting,1
1666, Prayam oru number maathram thalivaa,1
1667, Oru newcomern kittavaunna etavaum nalla role....  all d bst team,1
1668, Ithu vere level trailer aanu Mone....,1
1669, SUPER HIT UPCOMING MOVIE.BEST OF LUCK SURAJETTA AND SAUBINCHETTA.,0
1670, priwtiraj  enna  otta karannam  kond  like  adikuna  kure pear,3
1671, Trailer repeat kandukondirikkan thonnum.. LALETTAN.. ISHTAM,1
1672, Youtube adichu poi makkale.. Raja vannu......,1
1673, Mammooka - rajuettam combo kaanan aaroke kaathirikunund???,3
1674, Oru raksha illa ikka marana mass,1
1675, Dialougue okke LKG piller parayunna poleyund,2
1676, Deii Rahul juttu Nee indha comment pathinaa like podraa,0
1677, Padam kandathinushesham onnumkude trailer Kanan vannavarundooo,3
1678, sadaram trailer powli aayaaal film il onnum.undavilla avrg film aayi othungaarund ath pole aavathirikkatte,4
1679, Trailler pora padam 8 nela pottum ane tonunee,2
1680, Padam kandit  trailer Kanan vanath njn mathrm ano ?,3
1681, DIDNT ONG - BAK GET MADE ALREADY >  :-/,0
1682, Pazhassi raja pole oru mega hit aavatte,1
1683, Madhuraraja_3hours 86K like Lucifer_49 minutes 120K like Feel the difference,1
1684, tamilnattilum No1 trending aaya first malayalam trailer..!#lalswag,1
1685, Panchavarnaa thatha poley oola padavaruthittaaaa pishuuu,4
1686, Oru addar item koodi iyye padathill varan nde athe mikkavarum last avum arayya...... Twist.......,1
1687, Ikka fans come on 🥰🥰🥰 ikka uyir,1
1688, Surajettan &  soubinkka   powli combo,1
1689, Un like Adaichavarkk Nadu viral namaskkaram,2
1690, Dilepettan pedikarudh koode mammukka fans und okk,3
1691, Ettane kaanan vendi vannavar undo  Podunge inge oru like,3
1692, Lift il kudungi rakshapedunnath ano kadha yenn thoniyavar like adiche,3
1693, Trailer kaduppam odiyan pole akathirunnal mathiyayirunnu,4
1694, Kashtam 27k pottanmaaru ee keralathil indello daivame... Dislike kandille.,2
1695, Raja odi vaykkan povunnathu Akshay thomasineya,3
1696, Ethu polikkum pinnalla,1
1697, Polichu........Odiyan manikante varave kandoo makkaleaaa.....,1
1698, ഇജ്ജാതി bgm. Vere level. Pwlichuu. Thakarthy. Mammookkka.,1
1699, pelo trailer parece ser muito bom! Amigos vem conhecer meu canal! Estou começando agora,0
1700, Woww woww.... Katta katta waiting Lalettaaaaa,1
1701, annaa njagal katta waiting aanu abudhabi dalma mallil... annanem pillarem kanan...,1
1702, Trending Trending Trending.........  Mamangam goes on viral,0
1703, Ntey achyaa aaa vali onnu nirthu🤣,3
1704, Pwolicheeee mammookkaa ingalu oru maha sagaram thanneyaaa,1
1705, Daily views etrayayi enn nokan varrunavar adi like,3
1706, Ennalum ithrem kashttappettu dislike adikkunnadhu enthinanavo,2
1707, Sreekumar avila prithiraj ennulla viswasam und .... So all best u guys,1
1708, 1:10 ee scene onnum cinemayil illa.... Pattich,2
1709, Bilal jhoninu.  Davide ninanil ഉണ്ടായ സന്തധി deric abraham,3
1710, Mass dialogue ketittu chiri vanathu enikku mathram aano,4
1711, Trailer ithanenkil padathinte kaaryam parayanundo padam koluthiyal bahubaliyude colectionkke pazhamkadha,1
1712, Verupikkal manju ullathu ozhichal baki ellam super,4
1713, Odiyante triler leak cheyyum ennu parayunnavarod.....ayyappante photo veettil undenkilum swamiye kanan ellavarum malaykku thanne pokum,2
1714, First Malayalam teaser to get  k likes...Lalettande mass,1
1715, Manju warrier enthu koppe undakan irikuva,2
1716, Mamookka eth polikkum,1
1717, Dislike adukunna pooo maklkekk anta veral gift,2
1718, Pokiri raja filim last sidheeq nte kaaal odikknnille apo avn ipravishym kaaalillathe nondi alle varande,3
1719, Idhentha Views koodath lle. Madhuraraja okke idhillum speedil eppezho kadann poyi.....,3
1720, Megastar swag  17 k views  115 k likes,0
1721, Polichu...  namude ലാലേട്ടൻ.. ...  rajuchettan,1
1722, Balaalsankam.... Aaa pani njn cheyyilla... Neeyum cheyyilla,3
1723, Aa urumi karakki adikkunnathu woe ROMANGIFICATION,1
1724, Trailor angott kluch pidikunilla ellavarum support cheyyu,3
1725, Randu perum vishu angot kondu poyi...... Malayalam cinema industryde uyarthu ezhunelpum,1
1726, So much slow mo,0
1727, Bst wishes nd hpy bdy ikkaa,0
1728, Love from karnataka,0
1729, ettavum polichath bgm aanu .no raksha,1
1730, Mammuni thendikal ethra dislikes adichalum Raja 8 nilayil pottum,2
1731, Khalid rahman... we r katta waiting here .....,1
1732, Thugs of hindhustan njan kandatha ...,3
1733, trailer polichu ikka Marana mass,1
1734, 1:51 ....VAADA ...aa oru otta shot mathi,1
1735, 1:01 ippo manasilayile,3
1736, Oru thavana kanumbozhum hype kooduvanallo Bhaghavane,1
1737, Unni mukundan poli ikka vere,3
1738, All the best mammukka... Ningal pwolik..,3
1739, Ithu fan made aano pakshe lalettanunee veesham cheerillannu parayunnavar  ithu lalettanee cheeru,3
1740, Njan Mohanlal fan aanenkilum....... Ikka Namichu,1
1741, Koothara mass padam.. oru simbha touch,2
1742, DOP - GAUTHAM SANKAR ......... #schoolsenior,0
1743, Enna friendship daykku oru cake vaangichu kodukku...,3
1744, Prithviraj ille ee padathil?... Padam pollikum enn thonunavar like adiku..,3
1745, Ikkante mathram pilear undangilkayy adikada...,3
1746, Mass entry ekka,1
1747, kammara sambhavam madhuraraja trailer undakkiyaa aalanalle trailer undakiyathu  cinema idi akathirunnal mathi  vargam poloru padam ayalum mathi,4
1748, Haters കണ്ടം vayi panjoo raja പിള്ളേരും stronga double strongalle triple strong,2
1749, Ente ponnoo.. Gopi Sundar .. Ingal poliyanu bro.. Mammookane pinne enthu parayaan oru raksheellaaa,1
1750, Padam polichu mass + class movie,1
1751, Once a king always a king  #Raja,0
1752, Ikka mwuthe happy birthday   lub u,1
1753, Le tamilrockers...     Bring me LUCIFER,0
1754, Ithupoloru kidukachi trailer njan vere kandittilla,1
1755, Ikkak vinu mohan fansinte ella supportum undagumm,1
1756, athoru valiya kadhayaa monee . paranju thudagiyaa......................super dialogue,1
